Feedback_ID,label,comment
48,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
49,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
50,complaint,"Public transportation is overcrowded, making travel uncomfortable."
51,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
52,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
53,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
54,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
55,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
56,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
57,complaint,"Public transportation is overcrowded, making travel uncomfortable."
58,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
59,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
60,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
61,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
62,complaint,"There is no proper drainage system, leading to frequent waterlogging."
63,complaint,"There is no proper drainage system, leading to frequent waterlogging."
64,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
65,complaint,"Public transportation is overcrowded, making travel uncomfortable."
66,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
67,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
68,complaint,"Electricity outages happen frequently, and no proper response from authorities."
69,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
70,complaint,"Streetlights are not maintained, making roads unsafe at night."
71,complaint,Public parks are not maintained well and are often dirty.
72,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
73,complaint,"Electricity outages happen frequently, and no proper response from authorities."
74,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
75,complaint,"Electricity outages happen frequently, and no proper response from authorities."
76,complaint,Public parks are not maintained well and are often dirty.
77,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
78,complaint,"Streetlights are not maintained, making roads unsafe at night."
79,complaint,"Electricity outages happen frequently, and no proper response from authorities."
80,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
81,complaint,"Electricity outages happen frequently, and no proper response from authorities."
82,complaint,Public parks are not maintained well and are often dirty.
83,complaint,Public parks are not maintained well and are often dirty.
84,complaint,"There is no proper drainage system, leading to frequent waterlogging."
85,complaint,"Public transportation is overcrowded, making travel uncomfortable."
86,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
87,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
88,complaint,"Streetlights are not maintained, making roads unsafe at night."
89,complaint,"Electricity outages happen frequently, and no proper response from authorities."
90,complaint,"Streetlights are not maintained, making roads unsafe at night."
91,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
92,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
93,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
94,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
95,complaint,"There is no proper drainage system, leading to frequent waterlogging."
96,complaint,"Electricity outages happen frequently, and no proper response from authorities."
97,complaint,"Public transportation is overcrowded, making travel uncomfortable."
98,complaint,"Electricity outages happen frequently, and no proper response from authorities."
99,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
100,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
101,complaint,"Public transportation is overcrowded, making travel uncomfortable."
102,complaint,"There is no proper drainage system, leading to frequent waterlogging."
103,complaint,"Electricity outages happen frequently, and no proper response from authorities."
104,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
105,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
106,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
107,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
108,complaint,"Electricity outages happen frequently, and no proper response from authorities."
109,complaint,"Streetlights are not maintained, making roads unsafe at night."
110,complaint,"Electricity outages happen frequently, and no proper response from authorities."
111,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
112,complaint,Public parks are not maintained well and are often dirty.
113,complaint,"There is no proper drainage system, leading to frequent waterlogging."
114,complaint,"Public transportation is overcrowded, making travel uncomfortable."
115,complaint,"Public transportation is overcrowded, making travel uncomfortable."
116,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
117,complaint,"Public transportation is overcrowded, making travel uncomfortable."
118,complaint,Public parks are not maintained well and are often dirty.
119,complaint,"There is no proper drainage system, leading to frequent waterlogging."
120,complaint,"There is no proper drainage system, leading to frequent waterlogging."
121,complaint,"Public transportation is overcrowded, making travel uncomfortable."
122,complaint,"Public transportation is overcrowded, making travel uncomfortable."
123,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
124,complaint,"Public transportation is overcrowded, making travel uncomfortable."
125,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
126,complaint,Public parks are not maintained well and are often dirty.
127,complaint,"Streetlights are not maintained, making roads unsafe at night."
128,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
129,complaint,"Streetlights are not maintained, making roads unsafe at night."
130,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
131,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
132,complaint,"Public transportation is overcrowded, making travel uncomfortable."
133,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
134,complaint,"Public transportation is overcrowded, making travel uncomfortable."
135,complaint,Public parks are not maintained well and are often dirty.
136,complaint,Public parks are not maintained well and are often dirty.
137,complaint,"Electricity outages happen frequently, and no proper response from authorities."
138,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
139,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
140,complaint,"There is no proper drainage system, leading to frequent waterlogging."
141,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
142,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
143,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
144,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
145,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
146,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
147,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
148,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
149,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
150,complaint,"There is no proper drainage system, leading to frequent waterlogging."
151,complaint,"There is no proper drainage system, leading to frequent waterlogging."
152,complaint,"Public transportation is overcrowded, making travel uncomfortable."
153,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
154,complaint,"Electricity outages happen frequently, and no proper response from authorities."
155,complaint,Public parks are not maintained well and are often dirty.
156,complaint,"There is no proper drainage system, leading to frequent waterlogging."
157,complaint,"Electricity outages happen frequently, and no proper response from authorities."
158,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
159,complaint,Public parks are not maintained well and are often dirty.
160,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
161,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
162,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
163,complaint,Public parks are not maintained well and are often dirty.
164,complaint,"There is no proper drainage system, leading to frequent waterlogging."
165,complaint,Public parks are not maintained well and are often dirty.
166,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
167,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
168,complaint,"Public transportation is overcrowded, making travel uncomfortable."
169,complaint,Public parks are not maintained well and are often dirty.
170,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
171,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
172,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
173,complaint,"There is no proper drainage system, leading to frequent waterlogging."
174,complaint,"Electricity outages happen frequently, and no proper response from authorities."
175,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
176,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
177,complaint,"Streetlights are not maintained, making roads unsafe at night."
178,complaint,Public parks are not maintained well and are often dirty.
179,complaint,"Public transportation is overcrowded, making travel uncomfortable."
180,complaint,Public parks are not maintained well and are often dirty.
181,complaint,"Electricity outages happen frequently, and no proper response from authorities."
182,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
183,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
184,complaint,"Public transportation is overcrowded, making travel uncomfortable."
185,complaint,"Electricity outages happen frequently, and no proper response from authorities."
186,complaint,"Streetlights are not maintained, making roads unsafe at night."
187,complaint,"Public transportation is overcrowded, making travel uncomfortable."
188,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
189,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
190,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
191,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
192,complaint,"There is no proper drainage system, leading to frequent waterlogging."
193,complaint,"Public transportation is overcrowded, making travel uncomfortable."
194,complaint,Public parks are not maintained well and are often dirty.
195,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
196,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
197,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
198,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
199,complaint,"Public transportation is overcrowded, making travel uncomfortable."
200,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
201,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
202,complaint,"Public transportation is overcrowded, making travel uncomfortable."
203,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
204,complaint,"Electricity outages happen frequently, and no proper response from authorities."
205,complaint,"Electricity outages happen frequently, and no proper response from authorities."
206,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
207,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
208,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
209,complaint,"Streetlights are not maintained, making roads unsafe at night."
210,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
211,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
212,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
213,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
214,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
215,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
216,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
217,complaint,"Public transportation is overcrowded, making travel uncomfortable."
218,complaint,"Public transportation is overcrowded, making travel uncomfortable."
219,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
220,complaint,"Public transportation is overcrowded, making travel uncomfortable."
221,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
222,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
223,complaint,"There is no proper drainage system, leading to frequent waterlogging."
224,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
225,complaint,"Electricity outages happen frequently, and no proper response from authorities."
226,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
227,complaint,Public parks are not maintained well and are often dirty.
228,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
229,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
230,complaint,Public parks are not maintained well and are often dirty.
231,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
232,complaint,"Streetlights are not maintained, making roads unsafe at night."
233,complaint,"Electricity outages happen frequently, and no proper response from authorities."
234,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
235,complaint,"Electricity outages happen frequently, and no proper response from authorities."
236,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
237,complaint,"Public transportation is overcrowded, making travel uncomfortable."
238,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
239,complaint,Public parks are not maintained well and are often dirty.
240,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
241,complaint,"Electricity outages happen frequently, and no proper response from authorities."
242,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
243,complaint,"Public transportation is overcrowded, making travel uncomfortable."
244,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
245,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
246,complaint,"Public transportation is overcrowded, making travel uncomfortable."
247,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
248,complaint,Public parks are not maintained well and are often dirty.
249,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
250,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
251,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
252,complaint,Public parks are not maintained well and are often dirty.
253,complaint,Public parks are not maintained well and are often dirty.
254,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
255,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
256,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
257,complaint,Public parks are not maintained well and are often dirty.
258,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
259,complaint,"Streetlights are not maintained, making roads unsafe at night."
260,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
261,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
262,complaint,"Electricity outages happen frequently, and no proper response from authorities."
263,complaint,Public parks are not maintained well and are often dirty.
264,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
265,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
266,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
267,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
268,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
269,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
270,complaint,"Streetlights are not maintained, making roads unsafe at night."
271,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
272,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
273,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
274,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
275,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
276,complaint,Public parks are not maintained well and are often dirty.
277,complaint,Public parks are not maintained well and are often dirty.
278,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
279,complaint,Public parks are not maintained well and are often dirty.
280,complaint,"Electricity outages happen frequently, and no proper response from authorities."
281,complaint,"Public transportation is overcrowded, making travel uncomfortable."
282,complaint,Public parks are not maintained well and are often dirty.
283,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
284,complaint,"Streetlights are not maintained, making roads unsafe at night."
285,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
286,complaint,Public parks are not maintained well and are often dirty.
287,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
288,complaint,"Public transportation is overcrowded, making travel uncomfortable."
289,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
290,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
291,complaint,"Public transportation is overcrowded, making travel uncomfortable."
292,complaint,Public parks are not maintained well and are often dirty.
293,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
294,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
295,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
296,complaint,"Public transportation is overcrowded, making travel uncomfortable."
297,complaint,"Public transportation is overcrowded, making travel uncomfortable."
298,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
299,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
300,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
301,complaint,"There is no proper drainage system, leading to frequent waterlogging."
302,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
303,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
304,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
305,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
306,complaint,"Streetlights are not maintained, making roads unsafe at night."
307,complaint,"Electricity outages happen frequently, and no proper response from authorities."
308,complaint,"There is no proper drainage system, leading to frequent waterlogging."
309,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
310,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
311,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
312,complaint,"Public transportation is overcrowded, making travel uncomfortable."
313,complaint,"Electricity outages happen frequently, and no proper response from authorities."
314,complaint,Public parks are not maintained well and are often dirty.
315,complaint,"Streetlights are not maintained, making roads unsafe at night."
316,complaint,Public parks are not maintained well and are often dirty.
317,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
318,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
319,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
320,complaint,"Public transportation is overcrowded, making travel uncomfortable."
321,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
322,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
323,complaint,Public parks are not maintained well and are often dirty.
324,complaint,"Electricity outages happen frequently, and no proper response from authorities."
325,complaint,"There is no proper drainage system, leading to frequent waterlogging."
326,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
327,complaint,"Public transportation is overcrowded, making travel uncomfortable."
328,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
329,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
330,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
331,complaint,"There is no proper drainage system, leading to frequent waterlogging."
332,complaint,"Streetlights are not maintained, making roads unsafe at night."
333,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
334,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
335,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
336,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
337,complaint,"Public transportation is overcrowded, making travel uncomfortable."
338,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
339,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
340,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
341,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
342,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
343,complaint,"Public transportation is overcrowded, making travel uncomfortable."
344,complaint,Public parks are not maintained well and are often dirty.
345,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
346,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
347,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
348,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
349,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
350,complaint,"Streetlights are not maintained, making roads unsafe at night."
351,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
352,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
353,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
354,complaint,"There is no proper drainage system, leading to frequent waterlogging."
355,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
356,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
357,complaint,"Public transportation is overcrowded, making travel uncomfortable."
358,complaint,"Streetlights are not maintained, making roads unsafe at night."
359,complaint,"Public transportation is overcrowded, making travel uncomfortable."
360,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
361,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
362,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
363,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
364,complaint,"Streetlights are not maintained, making roads unsafe at night."
365,complaint,"There is no proper drainage system, leading to frequent waterlogging."
366,complaint,"There is no proper drainage system, leading to frequent waterlogging."
367,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
368,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
369,complaint,"Electricity outages happen frequently, and no proper response from authorities."
370,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
371,complaint,"Electricity outages happen frequently, and no proper response from authorities."
372,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
373,complaint,"There is no proper drainage system, leading to frequent waterlogging."
374,complaint,"Electricity outages happen frequently, and no proper response from authorities."
375,complaint,"Streetlights are not maintained, making roads unsafe at night."
376,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
377,complaint,"Public transportation is overcrowded, making travel uncomfortable."
378,complaint,"There is no proper drainage system, leading to frequent waterlogging."
379,complaint,"Electricity outages happen frequently, and no proper response from authorities."
380,complaint,"Public transportation is overcrowded, making travel uncomfortable."
381,complaint,"Electricity outages happen frequently, and no proper response from authorities."
382,complaint,Public parks are not maintained well and are often dirty.
383,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
384,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
385,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
386,complaint,"Electricity outages happen frequently, and no proper response from authorities."
387,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
388,complaint,Public parks are not maintained well and are often dirty.
389,complaint,"There is no proper drainage system, leading to frequent waterlogging."
390,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
391,complaint,"Electricity outages happen frequently, and no proper response from authorities."
392,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
393,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
394,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
395,complaint,"There is no proper drainage system, leading to frequent waterlogging."
396,complaint,Public parks are not maintained well and are often dirty.
397,complaint,Public parks are not maintained well and are often dirty.
398,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
399,complaint,"There is no proper drainage system, leading to frequent waterlogging."
400,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
401,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
402,complaint,"Electricity outages happen frequently, and no proper response from authorities."
403,complaint,"Public transportation is overcrowded, making travel uncomfortable."
404,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
405,complaint,"Electricity outages happen frequently, and no proper response from authorities."
406,complaint,Public parks are not maintained well and are often dirty.
407,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
408,complaint,"Public transportation is overcrowded, making travel uncomfortable."
409,complaint,Public parks are not maintained well and are often dirty.
410,complaint,Public parks are not maintained well and are often dirty.
411,complaint,"There is no proper drainage system, leading to frequent waterlogging."
412,complaint,Public parks are not maintained well and are often dirty.
413,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
414,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
415,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
416,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
417,complaint,Public parks are not maintained well and are often dirty.
418,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
419,complaint,"Electricity outages happen frequently, and no proper response from authorities."
420,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
421,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
422,complaint,"Streetlights are not maintained, making roads unsafe at night."
423,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
424,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
425,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
426,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
427,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
428,complaint,"There is no proper drainage system, leading to frequent waterlogging."
429,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
430,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
431,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
432,complaint,Public parks are not maintained well and are often dirty.
433,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
434,complaint,"Streetlights are not maintained, making roads unsafe at night."
435,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
436,complaint,"Public transportation is overcrowded, making travel uncomfortable."
437,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
438,complaint,"There is no proper drainage system, leading to frequent waterlogging."
439,complaint,"There is no proper drainage system, leading to frequent waterlogging."
440,complaint,"There is no proper drainage system, leading to frequent waterlogging."
441,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
442,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
443,complaint,Public parks are not maintained well and are often dirty.
444,complaint,"Electricity outages happen frequently, and no proper response from authorities."
445,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
446,complaint,"The water supply is inconsistent, and sometimes we get dirty water."
447,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
448,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
449,complaint,"Electricity outages happen frequently, and no proper response from authorities."
450,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
451,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
452,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
453,complaint,"Traffic signals in our area are not functioning properly, causing accidents."
454,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
455,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
456,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
457,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
458,complaint,"Roads in my locality are full of potholes, making commuting very difficult."
459,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
460,complaint,"Public transportation is overcrowded, making travel uncomfortable."
461,complaint,"Public transportation is overcrowded, making travel uncomfortable."
462,complaint,"Public transportation is overcrowded, making travel uncomfortable."
463,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
464,complaint,"Streetlights are not maintained, making roads unsafe at night."
465,complaint,"The garbage collection in our area is irregular, causing hygiene issues."
466,complaint,"Government hospitals lack sufficient staff, leading to long waiting times."
467,complaint,Public parks are not maintained well and are often dirty.
